"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000272384.1",50.612589635241,3.07915832210543,0.538849615454609,5.71431849219685,1.10144540554114e-08,1.5413445945624e-06
"ENSG00000196878.15",5143.56608512348,4.32771903521319,0.757532885029699,5.71291243025512,1.11058836409826e-08,1.54356672563889e-06
"ENSG00000117069.15",426.897223176859,4.95179181322662,0.869736303606908,5.69344040566193,1.24504685930503e-08,1.67435864464701e-06
"ENSG00000166126.11",53.9986000977843,-2.45833359494743,0.431587716353383,-5.69602308360081,1.22634280840122e-08,1.67435864464701e-06
"ENSG00000188803.15",466.198040395782,4.34590097212632,0.763275142791608,5.69375409794113,1.24276036011214e-08,1.67435864464701e-06
"ENSG00000197467.16",729.257238013868,3.19839941018949,0.561456147285356,5.69661482139571,1.22209597599189e-08,1.67435864464701e-06
"ENSG00000224940.9",231.636867577664,4.69882425660582,0.825317245724638,5.69335522909157,1.24566841557606e-08,1.67435864464701e-06
"ENSG00000136110.13",124.511198712871,-3.1367620399421,0.551788680283226,-5.68471618216605,1.31030079811161e-08,1.74972258864172e-06
"ENSG00000179913.11",911.921475953342,4.82309404607833,0.851803705513495,5.66221303671227,1.49433140912305e-08,1.98251201427228e-06
"ENSG00000152580.8",196.321191702309,-4.05052811448618,0.716442274927265,-5.65366988554297,1.57057724783931e-08,2.07022346778096e-06
"ENSG00000256268.2",72.149717938762,3.90489999062432,0.692514756687091,5.63872459455579,1.71314272580588e-08,2.24366788659871e-06
"ENSG00000253250.3",63.5887851111411,-2.04394299928861,0.362699309048095,-5.63536502082935,1.74687924416778e-08,2.27327960748993e-06
"ENSG00000109255.11",642.452311420868,5.97266618961029,1.06039979864042,5.63246635586696,1.7765050984336e-08,2.29720099152511e-06
"ENSG00000139998.16",1799.4803543645,1.60483892262022,0.285057722519331,5.62987351627139,1.8034182268657e-08,2.31733571025742e-06
"ENSG00000118946.12",803.279746864349,1.17072778183744,0.208074142349541,5.62649336730534,1.83909854946586e-08,2.34841390400856e-06
"ENSG00000182580.3",709.357908297847,2.96957617257087,0.530598276604699,5.59665627180924,2.18525350537461e-08,2.77310027132352e-06
"ENSG00000135697.10",9.64178766723636,-3.15845326998169,0.565315977100898,-5.58705820801164,2.30948332921934e-08,2.91265764810373e-06
"ENSG00000169291.10",3232.86885151604,1.23974695426474,0.222096574194213,5.58201745687728,2.37744507977872e-08,2.97997425919994e-06
"ENSG00000126752.8",141.481686669413,3.50747759087313,0.628898984806805,5.57717165333097,2.44460618273848e-08,3.04014205299669e-06
"ENSG00000173727.12",271.350590947306,-1.46121865491437,0.262035324999274,-5.57641857989347,2.45520747268589e-08,3.04014205299669e-06
"ENSG00000279187.1",92.857242111645,-2.6829658144585,0.482657232801831,-5.55873947829157,2.71729935416466e-08,3.34440621114086e-06
"ENSG00000168079.17",690.493231794801,-5.58130119468713,1.00452834405883,-5.55614107625444,2.7580398766605e-08,3.3742223185659e-06
"ENSG00000256564.1",39.9129313887442,2.82371275996189,0.508646840553364,5.55142101519778,2.83356738047059e-08,3.4459889970473e-06
"ENSG00000138722.10",1267.66368627671,-2.91080380889924,0.524811418727825,-5.54638048073574,2.91643822393151e-08,3.52578398539317e-06
"ENSG00000085741.13",195.540813777844,-3.14093800847983,0.566890831251241,-5.5406399880329,3.01368213763026e-08,3.62191410317199e-06
"ENSG00000177076.6",274.965162346346,2.13229607989835,0.385668415440683,5.52883252693089,3.22368904715963e-08,3.85164859196013e-06
"ENSG00000164078.13",567.380081842093,2.0546793221909,0.371785674825307,5.52651557421181,3.26653274831109e-08,3.88014712678744e-06
"ENSG00000237222.4",21.8600837033032,2.72906469337826,0.494479968618872,5.51906015728159,3.40817516395073e-08,4.02499576732239e-06
"ENSG00000104419.17",9194.66643270653,-0.681081831878831,0.123548024832224,-5.51268895479086,3.53392460010484e-08,4.14951801751391e-06
"ENSG00000161640.15",19.8676562447869,-1.60110376693061,0.290571620193635,-5.5101863212369,3.58454062570155e-08,4.18489997278334e-06
"ENSG00000182132.14",20.7061793380025,-3.55626692149777,0.645714877732606,-5.50748797051946,3.63990275014918e-08,4.22270439209671e-06
"ENSG00000211829.9",152.855818203885,-3.49052281418991,0.633879611907997,-5.5066021191048,3.65825792864332e-08,4.22270439209671e-06
"ENSG00000173599.15",3151.10844049148,1.6004685365252,0.291073886434512,5.49849578101981,3.83044703274652e-08,4.39662153517102e-06
"ENSG00000101236.17",2846.56617182416,1.54720094242527,0.281604936112948,5.49422522126783,3.92429415664058e-08,4.47917619633093e-06
"ENSG00000140945.17",493.777702628745,2.43674820263874,0.443630475371826,5.49274303257998,3.95738405248652e-08,4.49185075424179e-06
"ENSG00000179031.8",18.0026101635116,3.19654023127101,0.58220820055205,5.49037308000823,4.01085621625494e-08,4.52739245051407e-06
"ENSG00000145349.17",3892.23109390378,0.878375758085322,0.160224446095451,5.48215818179233,4.2016828400884e-08,4.71673528054099e-06
"ENSG00000140873.16",35.6116971364544,2.33278962465698,0.425795128717843,5.47866677498519,4.28542549157699e-08,4.78445509390216e-06
